SMILES,VINA,CNSMPO
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,-6.7,5.356417343833333
CN(CCCCCCOC1=CC(=C(C=C1)C(=O)C2=CC=C(C=C2)Br)F)CC=C,-6.1,2.196834937642857
CC(C)(C(=N)N)N=NC(C)(C)C(=N)N,-4.9,3.0062038675
C1COCCN1C2=NC=C(C=C2)C3=NC4=NC=NC(=C4C(=C3)C5=CC(=CC=C5)Br)N,-7.8,3.5868767388809513
CC(=O)NC1=CC=C(C=C1)O,-4.6,5.5
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,-5.4,4.951666666666666
CC(=O)NC1=CC=C(C=C1)CC(=O)O,-5.3,5.5
C(CSC(=N)N)N,-3.4,4.166666666666667
CC(C)(C)C1=C(C(=CC(=C1)C=C(C#N)C#N)Br)O,-6.1,4.485071552333333
C1=CC(=C(C=C1C=C(C#N)C#N)O)[N+](=O)[O-],-5.2,5.040666666666667
CC1=CC2=NC=C(N=C2C=C1C)C3=CC=CC=C3,-7.6,3.609501582
COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC,-6.7,5.483189584500001
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,-6.9,4.585566964333333
C1=CC(=C(C=C1C=C(C#N)C#N)O)O,-5.1,5.5
C1=C(C=C(C(=C1O)O)O)C=C(C#N)C#N,-5.5,4.463333333333334
COC(=O)C1=CC=C(C=C1)NCC2=C(C=CC(=C2)O)O,-6.6,4.885124109666667
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,-4.5,3.0445487555
CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)I,-8.1,2.833333333333333
CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C,-9.6,4.3576407105
C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,-6.5,4.53180623452381
C(=NN)(N)N,-2.9,4.099
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,-6.7,2.4603438135
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,-7.2,2.9762441655000003
CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,-7.5,4.6613921876666655
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,-5.8,4.5
CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,-7.2,3.9433040114999995
C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,-7.5,5.3815827008333335
CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,-5.9,5.4715459675
COC1=CC=C(C=C1)C(=O)N2CCCC2=O,-5.8,6.0
CC(=O)C1=CC(=C(C=C1)O)OC,-4.7,5.833333333333332
CN1CCC=C(C1)C(=O)OC,-4.3,5.424159304
CC(=O)OC1=CC=CC=C1C(=O)O,-5.0,5.833333333333332
COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,-7.8,2.7622526073333336
CCNC1=NC(=NC(=N1)Cl)NC(C)C,-5.0,5.401335606
CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],-6.5,4.986000000000001
CCN1CCC2=C(CC1)OC(=N2)N,-4.9,5.096541322333333
CC(=O)OCOC(=O)CN(CC(=O)OCOC(=O)C)C1=CC=CC=C1OCCOC2=CC=CC=C2N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C,-3.7,4.0
C1=CC=C(C=C1)C(=N)N,-4.7,4.5
CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,-7.2,3.532831123761905
CCOC(=O)C1=CC=C(C=C1)N,-4.7,5.833333333333332
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,-8.4,6.0
C1=CC(=CC=C1C(=N)N)NN=NC2=CC=C(C=C2)C(=N)N,-6.8,3.0
CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O,-2.6,3.3259874290952385
CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,-7.7,4.4321989125
C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCN,-8.2,3.841102380952381
C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,-8.2,4.718812608666667
