SMILES,norm_t_half
O=c1cc(c2ccccc2)c3ccc(OCc4nnn[nH]4)c(C)c3o1,1.288227716
CN(C)c1ccc(\C=C2/C(=O)NN(C2=O)c2ccc(C)cc2)cc1,1.286458333
Fc1ccccc1-c1ccc(\C=C2\C(=O)NN(C2=O)c2cccc(Br)c2)o1,1.285714286
COc1ccccc1OCc1nnn[nH]1,1.283898305
[O-][N+](=O)c1ccc(OCc2ccccc2F)c(\C=C2/C(=O)NN(C2=O)c2ccccc2)c1,1.28042328
CC1CCc2c(C1)c1ccc(OCc3nnn[nH]3)c(C)c1oc2=O,1.279661017
Fc1ccc(OCc2nnn[nH]2)c(F)c1,1.275423729
O=C1NC(=S)S\C1=C/c1coc2ccccc2c1=O,1.270588235
Clc1ccccc1OCc1nnn[nH]1,1.254237288
COc1ccc(OCCOc2c(Cl)cc(\C=C3/C(=O)NN(C3=O)c3ccccc3)cc2OC)cc1,1.243386243
Cc1c(OCC(N)=O)ccc2c(C)c(C)c(=O)oc12,1.243137255
OC(=O)[C@H]1NCCc2ccccc12,1.239215686
COc1cc(Cl)cc(\C=C2/C(=O)NN(C2=O)c2ccccc2)c1O,1.238095238
CCOc1ccc(\C=C2/C(=O)NN(C2=O)c2ccc(Br)cc2)cc1,1.238095238
OC1=NN(C(=O)\C1=C\c1ccc2OCOc2c1)c1ccccc1,1.228813559
Fc1ccccc1OCc1nnn[nH]1,1.228813559
CCc1c(C)c2ccc(OCc3nnn[nH]3)c(C)c2oc1=O,1.224576271
OC(=O)[C@H]1NCCc2ccccc12,1.223529412
Cc1c(OCc2nnn[nH]2)ccc2c(C)c(C)c(=O)oc12,1.216101695
Cc1cccc2c(c[nH]c12)-c1nc(n[nH]1)C(C)(C)C,1.216101695
Cc1c(Cc2ccccc2)c(=O)oc2cc(OCc3nnn[nH]3)ccc12,1.211864407
Clc1cc2c3CCCCc3c(=O)oc2cc1OCc1nnn[nH]1,1.211864407
Cc1cccc2c(c[nH]c12)-c1nc(n[nH]1)C1CC1,1.211864407
Cc1ccc(cc1)N1NC(=O)\C(=C\c2ccc(o2)-c2ccc(cc2)[N+]([O-])=O)C1=O,1.206349206
COCCN(C[C@@H]1CCCN2CCCC[C@H]12)Cc1cc2c3ccccc3c(=O)oc2c(C)c1O,1.201058201
O=Cc1coc2ccccc2c1=O,1.197628
Cc1c(OCC(O)=O)ccc2c1oc(=O)c1ccccc21,1.194915254
C[C@]12CCC3C(CC[C@H]4CC(O)CC[C@]34C)C1CC(N)C2O,1.193548387
Cc1c(OCC(N)=O)ccc2c(C)c(C)c(=O)oc12,1.192156863
Cc1cccc(OCc2nnn[nH]2)c1C,1.186440678
CCOc1ccc(\C=C2\C(O)=NN(C2=O)c2ccccc2)cc1,1.185185185
O=Cc1coc2ccccc2c1=O,1.184313725
O=C1CNC(=O)C2CN(Cc3ccc-4c(Cc5ccccc-45)c3)CCN12,1.182795699
O=c1[nH]n(-c2nncc3ccccc23)c(=O)c2ccccc12,1.182741117
Cc1c(OCC(N)=O)ccc2c1oc(=O)c1ccccc21,1.18220339
OC(=O)C1CC2CCCCC2N1C(=O)c1cnc2ccccc2n1,1.177664975
COc1ccc(\C=C2\C(=O)NN(C2=O)c2ccc(I)cc2)cc1,1.174603175
O=C1\C(NS(=O)(=O)c2ccccc12)=C\c1ccc2OCOc2c1,1.172043011
Fc1ccccc1Cn1cc(\C=C2\C(=O)NN(C2=O)c2ccccc2)c2ccccc12,1.164021164
OC(=O)C1COCCN1C(=O)Cn1ncc(=O)c2ccccc12,1.157360406
Cc1c([nH]c2c(C)cccc12)C1NCCc2[nH]cnc12,1.156862745
O=C1NC(=S)S\C1=C/c1coc2ccccc2c1=O,1.152941176
OC1=NN(C(=O)\C1=C\c1ccccn1)c1ccccc1,1.152542373
CN1C(=O)N(C)C(=O)C(=Cc2coc3ccccc3c2=O)C1=O,1.152542373
Cc1c(OCc2nnn[nH]2)ccc2c3CCCc3c(=O)oc12,1.148305085
O=C1NN(C(=O)\C1=C1\C(=O)N(Cc2cccc3ccccc23)c2ccccc12)c1ccccc1,1.148148148
Cc1cccc2c(c[nH]c12)C1=CCNCC1,1.145098039
Cl.Cc1cccc2c3CCNCc3[nH]c12,1.137254902
Fc1ccccc1-c1ccc(\C=C2\C(=O)NN(C2=O)c2ccc(Br)cc2)o1,1.135416667
O=c1[nH]c-2c(COc3ccccc-23)c(-c2cccnc2)c1C#N,1.126903553
O=c(oc1c2ccc(OCc3[nH]nnn3)c1)c4c2cccc4,1.120599
COc1cccc2-c3[nH]nc(C(=O)n4ccnc4)c3CCc12,1.116751269
OC1=NC(=O)N(C(=O)\C1=C/c1coc2ccccc2c1=O)c1ccc(Cl)cc1,1.109375
Cc1c(OCc2nnn[nH]2)ccc2c3CCCCc3c(=O)oc12,1.105932203
OC1=NC(S)=NC(=O)\C1=C/c1coc2ccccc2c1=O,1.104166667
CC1=C(C(N(N1C)c2ccccc2)=O)/N=C/c(coc3c4cccc3)c4=O,1.102101259
Cc1c(OCC(O)=O)ccc2c(C)c(C)c(=O)oc12,1.101694915
Cc1c(OCC(N)=O)ccc2c3CCCCc3c(=O)oc12,1.090196078
[O-]c1ccc2occ(\C=C3\C(=O)N=C4SC=CN4C3=[NH2+])c(=O)c2c1,1.088541667
Cc1ccccc1CCNC(c1cccc(c1)C#N)P(O)(O)=O,1.086294416
FC(F)(F)Oc1ccc(cc1)-c1ccc(\C=C2/C(=O)NN(C2=O)c2ccccc2)o1,1.083333333
Cc1cccc2c(CC(=O)NC(CC(O)=O)c3cccs3)c[nH]c12,1.079365079
Fc1cc(F)c2nc([nH]c2c1)-c1cn(nn1)C1CCNCC1,1.076142132
CCOC(=O)c1ccc(cc1)N1NC(=O)\C(=C\c2ccc(Br)cc2)C1=O,1.074074074
CC(O)CC1COCCN1C(=O)NCCc1c[nH]c2c(C)cccc12,1.074074074
N=C1N2C=CSC2=NC(=O)\C1=C\c1coc2ccccc2c1=O,1.074074074
COc1ccc(OCCn2cc(\C=C3/C(=O)NN(C3=O)c3ccccc3)c3ccccc23)cc1,1.074074074
CCCc1cc(=O)oc2c(C)c(OCc3nnn[nH]3)ccc12,1.072033898
